release_date,region,epiweek,lag,num_patients,num_providers,wili,ili
2020-06-12,pa,201840,87,59432,142,0.901871,0.901871
2020-06-12,pa,201841,86,60911,141,1.04907,1.04907
2020-06-12,pa,201842,85,56659,140,1.07662,1.07662
2020-06-12,pa,201843,84,57069,140,1.14248,1.14248
2020-06-12,pa,201844,83,56211,139,1.20261,1.20261
2020-06-12,pa,201845,82,55269,140,1.32262,1.32262
2020-06-12,pa,201846,81,48727,131,1.38527,1.38527
2020-06-12,pa,201847,80,41348,139,1.60346,1.60346
2020-06-12,pa,201848,79,75182,140,1.42853,1.42853
2020-06-12,pa,201849,78,53263,138,1.52263,1.52263
2020-06-12,pa,201850,77,50612,135,1.89283,1.89283
2020-06-12,pa,201851,76,50854,132,2.14732,2.14732
2020-06-12,pa,201852,75,47791,134,3.0173,3.0173
2020-06-12,pa,201901,74,51664,134,2.85305,2.85305
2020-06-12,pa,201902,73,52397,135,2.40853,2.40853
2020-06-12,pa,201903,72,54563,139,2.41556,2.41556
2020-06-12,pa,201904,71,53653,140,2.88148,2.88148
2020-06-12,pa,201905,70,45353,141,2.89507,2.89507
2020-06-12,pa,201906,69,59549,141,2.96059,2.96059
2020-06-12,pa,201907,68,54918,142,3.35409,3.35409
2020-06-12,pa,201908,67,52547,135,3.2371,3.2371
2020-06-12,pa,201909,66,56211,140,3.12216,3.12216
2020-06-12,pa,201910,65,52497,137,3.23066,3.23066
2020-06-12,pa,201911,64,56775,137,3.22501,3.22501
2020-06-12,pa,201912,63,76131,139,2.75972,2.75972
2020-06-12,pa,201913,62,57433,136,2.7371,2.7371
2020-06-12,pa,201914,61,55624,139,2.26521,2.26521
2020-06-12,pa,201915,60,57152,138,1.84945,1.84945
2020-06-12,pa,201916,59,52034,137,1.43752,1.43752
2020-06-12,pa,201917,58,53409,137,1.144,1.144
2020-06-12,pa,201918,57,53189,134,1.06413,1.06413
2020-06-12,pa,201919,56,48896,128,0.946908,0.946908
2020-06-12,pa,201920,55,5436,47,0.699043,0.699043
2020-06-12,pa,201921,54,48659,106,0.898087,0.898087
2020-06-12,pa,201922,53,49761,109,0.952553,0.952553
2020-06-12,pa,201923,52,49035,126,0.79739,0.79739
2020-06-12,pa,201924,51,46864,127,0.684961,0.684961
2020-06-12,pa,201925,50,47362,124,0.690427,0.690427
2020-06-12,pa,201926,49,45849,101,0.580165,0.580165
2020-06-12,pa,201927,48,45759,125,0.487336,0.487336
2020-06-12,pa,201928,47,48268,124,0.482721,0.482721
2020-06-12,pa,201929,46,48713,125,0.441361,0.441361
2020-06-12,pa,201930,45,47897,124,0.498987,0.498987
2020-06-12,pa,201931,44,46313,124,0.475029,0.475029
2020-06-12,pa,201932,43,47231,123,0.436154,0.436154
2020-06-12,pa,201933,42,45564,122,0.471864,0.471864
2020-06-12,pa,201934,41,46867,122,0.49075,0.49075
2020-06-12,pa,201935,40,48673,124,0.488977,0.488977
2020-06-12,pa,201936,39,63599,122,0.687118,0.687118
2020-06-12,pa,201937,38,53638,122,0.771841,0.771841
2020-06-12,pa,201938,37,51409,119,0.820868,0.820868
2020-06-12,pa,201939,36,51457,119,0.958082,0.958082
2020-06-12,pa,201940,35,52819,125,0.922017,0.922017
2020-06-12,pa,201941,34,51333,124,1.01494,1.01494
2020-06-12,pa,201942,33,49135,123,1.20891,1.20891
2020-06-12,pa,201943,32,54155,130,1.37937,1.37937
2020-06-12,pa,201944,31,53087,126,1.2018,1.2018
2020-06-12,pa,201945,30,51772,130,1.42162,1.42162
2020-06-12,pa,201946,29,49651,125,1.47832,1.47832
2020-06-12,pa,201947,28,53174,130,1.6982,1.6982
2020-06-12,pa,201948,27,44302,126,1.7945,1.7945
2020-06-12,pa,201949,26,48244,117,1.89246,1.89246
2020-06-12,pa,201950,25,50275,125,2.12233,2.12233
2020-06-12,pa,201951,24,47264,124,2.71242,2.71242
2020-06-12,pa,201952,23,46329,125,3.80539,3.80539
2020-06-12,pa,202001,22,48812,124,4.39236,4.39236
2020-06-12,pa,202002,21,50550,124,3.36696,3.36696
2020-06-12,pa,202003,20,50792,124,3.64624,3.64624
2020-06-12,pa,202004,19,50861,122,4.09744,4.09744
2020-06-12,pa,202005,18,53216,123,4.91394,4.91394
2020-06-12,pa,202006,17,53169,127,5.07815,5.07815
2020-06-12,pa,202007,16,73268,127,4.33477,4.33477
2020-06-12,pa,202008,15,52585,126,4.00685,4.00685
2020-06-12,pa,202009,14,53284,126,4.01434,4.01434
2020-06-12,pa,202010,13,67218,123,3.9543,3.9543
2020-06-12,pa,202011,12,64743,122,5.06618,5.06618
2020-06-12,pa,202012,11,51688,126,6.57793,6.57793
2020-06-12,pa,202013,10,39937,125,4.90773,4.90773
2020-06-12,pa,202014,9,35586,121,3.67279,3.67279
2020-06-12,pa,202015,8,34601,122,2.73403,2.73403
2020-06-12,pa,202016,7,34909,122,2.03959,2.03959
2020-06-12,pa,202017,6,36350,122,1.52682,1.52682
2020-06-12,pa,202018,5,38433,120,1.22551,1.22551
2020-06-12,pa,202019,4,38907,119,0.948415,0.948415
2020-06-12,pa,202020,3,40514,117,0.989781,0.989781
2020-06-12,pa,202021,2,43900,115,0.813212,0.813212
2020-06-12,pa,202022,1,46201,114,0.603883,0.603883
2020-06-12,pa,202023,0,47642,112,0.56043,0.56043
