Date,42001,42003,42005,42007,42009,42011,42013,42015,42017,42019,42021,42023,42025,42027,42029,42031,42033,42035,42037,42039,42041,42043,42045,42047,42049,42051,42053,42055,42057,42059,42061,42063,42065,42067,42069,42071,42073,42075,42077,42079,42081,42083,42085,42087,42089,42091,42093,42095,42097,42099,42101,42103,42105,42107,42109,42111,42113,42115,42117,42119,42121,42123,42125,42127,42129,42131,42133
7-1-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-2-2020,35,2040,38,112,37,233,110,25,771,189,111,3,74,191,464,21,44,26,60,153,125,341,560,40,195,135,9,67,9,38,20,86,21,26,271,498,81,111,367,297,77,96,81,33,179,913,47,365,54,42,2009,20,4,149,27,41,5,38,17,47,61,24,319,27,454,20,276
7-3-2020,46,1781,19,89,26,218,70,22,639,153,139,3,57,87,678,8,36,27,45,25,171,269,649,28,148,63,13,93,5,15,24,38,35,21,251,398,27,164,562,303,265,222,76,34,131,1536,38,350,56,66,2092,34,11,205,14,55,3,47,8,19,44,12,196,38,521,24,294
7-4-2020,141,1563,55,151,36,153,144,32,302,91,228,8,32,100,366,25,72,15,60,37,264,233,345,42,104,117,5,63,6,31,19,135,50,13,191,371,46,110,282,329,252,42,96,39,69,658,53,188,87,18,1384,34,0,102,9,53,7,19,10,46,26,8,242,52,371,21,400
7-5-2020,52,1074,15,55,45,212,110,29,513,63,69,0,42,109,540,26,33,19,43,32,146,270,547,7,104,70,2,80,1,25,27,35,34,8,153,468,43,74,255,233,43,24,99,33,85,724,55,217,63,30,1497,28,0,84,15,40,3,17,7,222,35,13,207,20,298,18,312
7-6-2020,19,1887,28,75,18,141,41,105,551,122,119,0,30,78,326,9,55,5,11,33,87,70,284,25,81,152,15,10,1,57,11,105,27,6,71,593,66,28,153,130,15,20,192,26,68,616,21,161,62,12,778,19,3,61,2,24,2,11,18,4,9,18,280,20,410,6,129
7-7-2020,93,2390,72,290,28,366,277,53,799,287,756,6,49,84,447,1,52,14,37,25,282,396,688,159,267,76,1,193,25,31,45,251,22,9,228,378,64,52,433,322,64,172,95,17,233,926,30,476,209,44,2727,37,16,101,12,25,3,88,30,9,5,2,349,34,510,10,497
7-8-2020,168,2316,126,451,74,264,116,24,562,269,320,1,83,96,555,16,67,25,72,122,238,382,970,28,149,190,19,198,8,25,33,48,19,17,236,850,92,132,393,349,247,16,57,42,178,1013,47,461,75,28,2286,41,1,115,23,82,5,20,24,80,40,10,222,57,545,19,562
7-9-2020,105,1668,41,73,34,346,139,15,656,149,136,0,50,85,550,9,30,102,42,138,380,301,600,8,130,55,0,140,11,41,20,50,20,12,199,506,73,139,526,457,96,44,55,59,205,698,56,459,63,32,2311,43,5,147,18,39,2,31,24,68,56,8,190,30,363,25,302
7-10-2020,294,1971,32,282,47,352,174,34,891,116,334,4,97,217,658,28,60,127,82,306,232,604,1009,19,84,149,6,153,12,46,39,106,37,15,268,862,167,252,630,666,117,53,79,160,260,963,44,530,80,56,2062,44,9,172,12,128,3,38,13,38,113,14,453,61,532,38,1078
7-11-2020,109,1871,26,78,59,310,154,42,507,157,171,0,47,241,766,51,56,26,71,131,200,232,441,23,330,174,1,68,1,53,30,41,21,25,219,381,182,127,757,361,69,15,160,85,202,915,70,436,97,26,1431,43,9,153,15,54,1,29,53,97,41,11,331,46,385,25,326
7-13-2020,180,2706,80,323,52,417,302,24,688,309,414,2,112,132,706,139,51,49,73,108,231,372,921,19,349,199,3,255,8,99,28,91,19,41,436,944,192,210,583,490,169,70,307,64,265,1090,118,455,88,43,1414,63,17,159,26,157,5,31,170,175,210,24,423,57,569,29,557
7-14-2020,92,4570,29,84,13,218,95,112,646,285,141,3,59,68,818,38,59,19,21,53,229,183,1096,13,276,56,3,151,8,106,7,60,46,22,174,1035,60,156,256,275,35,3,102,39,95,573,8,242,89,24,1572,35,12,101,17,57,2,25,53,188,26,9,169,31,306,20,303
7-15-2020,110,2898,171,246,39,445,257,96,1021,319,399,5,84,157,795,110,40,29,122,98,340,388,1039,51,230,304,32,119,6,78,69,130,40,13,160,618,95,131,787,424,165,149,289,22,281,1371,115,689,119,34,3380,53,79,178,29,135,2,65,48,94,189,29,306,50,527,25,421
7-16-2020,191,1171,34,75,35,371,121,98,993,110,219,1,146,135,442,9,68,37,81,172,147,177,653,27,259,162,17,126,11,47,150,130,21,28,175,678,57,110,605,256,232,46,80,77,259,1160,87,543,255,27,2352,38,28,183,17,62,3,29,34,47,14,12,230,25,389,24,372
