County,Fips,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR,Est_Tot_Tests,Date,Last Date,Change From Last Date
ADAMS,42001,SC,399,387,12,6506,6893,7-15-2020,7-14-2020,110
ALLEGHENY,42003,SW,5610,5417,193,81645,87062,7-15-2020,7-14-2020,2898
ARMSTRONG,42005,SW,94,94,0,2880,2974,7-15-2020,7-14-2020,171
BEAVER,42007,SW,884,858,26,8369,9227,7-15-2020,7-14-2020,246
BEDFORD,42009,SC,94,87,7,2027,2114,7-15-2020,7-14-2020,39
BERKS,42011,SE,4744,4585,159,23086,27671,7-15-2020,7-14-2020,445
BLAIR,42013,SC,113,102,11,7648,7750,7-15-2020,7-14-2020,257
BRADFORD,42015,NC,61,54,7,4181,4235,7-15-2020,7-14-2020,96
BUCKS,42017,SE,6189,5639,550,44710,50349,7-15-2020,7-14-2020,1021
BUTLER,42019,SW,444,403,41,9248,9651,7-15-2020,7-14-2020,319
CAMBRIA,42021,SW,143,122,21,11068,11190,7-15-2020,7-14-2020,399
CAMERON,42023,NW,5,5,0,297,302,7-15-2020,7-14-2020,5
CARBON,42025,NE,306,302,4,5021,5323,7-15-2020,7-14-2020,84
CENTRE,42027,NC,262,240,22,5918,6158,7-15-2020,7-14-2020,157
CHESTER,42029,SE,4108,3892,216,34091,37983,7-15-2020,7-14-2020,795
CLARION,42031,NW,66,64,2,1451,1515,7-15-2020,7-14-2020,110
CLEARFIELD,42033,NW,96,74,22,2972,3046,7-15-2020,7-14-2020,40
CLINTON,42035,NC,100,88,12,1847,1935,7-15-2020,7-14-2020,29
COLUMBIA,42037,NC,424,400,24,3825,4225,7-15-2020,7-14-2020,122
CRAWFORD,42039,NW,101,84,17,3735,3819,7-15-2020,7-14-2020,98
CUMBERLAND,42041,SC,982,932,50,14206,15138,7-15-2020,7-14-2020,340
DAUPHIN,42043,SC,2325,2262,63,21586,23848,7-15-2020,7-14-2020,388
DELAWARE,42045,SE,7651,7423,228,45847,53270,7-15-2020,7-14-2020,1039
ELK,42047,NW,31,26,5,1421,1447,7-15-2020,7-14-2020,51
ERIE,42049,NW,747,631,116,14027,14658,7-15-2020,7-14-2020,230
FAYETTE,42051,SW,220,209,11,6563,6772,7-15-2020,7-14-2020,304
FOREST,42053,NW,7,5,2,355,360,7-15-2020,7-14-2020,32
FRANKLIN,42055,SC,1019,984,35,10131,11115,7-15-2020,7-14-2020,119
FULTON,42057,SC,19,17,2,598,615,7-15-2020,7-14-2020,6
GREENE,42059,SW,75,67,8,1868,1935,7-15-2020,7-14-2020,78
HUNTINGDON,42061,SC,263,256,7,1970,2226,7-15-2020,7-14-2020,69
INDIANA,42063,SW,168,156,12,4088,4244,7-15-2020,7-14-2020,130
JEFFERSON,42065,NW,41,34,7,1497,1531,7-15-2020,7-14-2020,40
JUNIATA,42067,SC,116,109,7,1077,1186,7-15-2020,7-14-2020,13
LACKAWANNA,42069,NE,1771,1712,59,14347,16059,7-15-2020,7-14-2020,160
LANCASTER,42071,SE,4906,4798,108,37857,42655,7-15-2020,7-14-2020,618
LAWRENCE,42073,NW,207,181,26,3791,3972,7-15-2020,7-14-2020,95
LEBANON,42075,SC,1476,1413,63,10188,11601,7-15-2020,7-14-2020,131
LEHIGH,42077,NE,4465,4414,51,30164,34578,7-15-2020,7-14-2020,787
LUZERNE,42079,NE,3036,2975,61,24108,27083,7-15-2020,7-14-2020,424
LYCOMING,42081,NC,252,232,20,5706,5938,7-15-2020,7-14-2020,165
MCKEAN,42083,NW,20,12,8,2438,2450,7-15-2020,7-14-2020,149
MERCER,42085,NW,203,178,25,5848,6026,7-15-2020,7-14-2020,289
MIFFLIN,42087,SC,74,69,5,3097,3166,7-15-2020,7-14-2020,22
MONROE,42089,NE,1482,1439,43,12648,14087,7-15-2020,7-14-2020,281
MONTGOMERY,42091,SE,8972,8957,15,70279,79236,7-15-2020,7-14-2020,1371
MONTOUR,42093,NC,81,72,9,5075,5147,7-15-2020,7-14-2020,115
NORTHAMPTON,42095,NE,3582,3468,114,28607,32075,7-15-2020,7-14-2020,689
NORTHUMBERLAND,42097,NC,352,318,34,4606,4924,7-15-2020,7-14-2020,119
PERRY,42099,SC,96,88,8,2039,2127,7-15-2020,7-14-2020,34
PHILADELPHIA,42101,SE,23263,23255,8,128894,152149,7-15-2020,7-14-2020,3380
PIKE,42103,NE,508,483,25,3546,4029,7-15-2020,7-14-2020,53
POTTER,42105,NC,19,16,3,462,478,7-15-2020,7-14-2020,79
SCHUYLKILL,42107,SE,782,753,29,9610,10363,7-15-2020,7-14-2020,178
SNYDER,42109,NC,74,63,11,1120,1183,7-15-2020,7-14-2020,29
SOMERSET,42111,SW,86,76,10,4489,4565,7-15-2020,7-14-2020,135
SULLIVAN,42113,NC,10,5,5,224,229,7-15-2020,7-14-2020,2
SUSQUEHANNA,42115,NE,195,188,7,2168,2356,7-15-2020,7-14-2020,65
TIOGA,42117,NC,31,25,6,1610,1635,7-15-2020,7-14-2020,48
UNION,42119,NC,108,96,12,3417,3513,7-15-2020,7-14-2020,94
VENANGO,42121,NW,49,33,16,2037,2070,7-15-2020,7-14-2020,189
WARREN,42123,NW,11,5,6,877,882,7-15-2020,7-14-2020,29
WASHINGTON,42125,SW,494,475,19,11252,11727,7-15-2020,7-14-2020,306
WAYNE,42127,NE,143,136,7,2946,3082,7-15-2020,7-14-2020,50
WESTMORELAND,42129,SW,1054,1025,29,23112,24137,7-15-2020,7-14-2020,527
WYOMING,42131,NE,48,45,3,1369,1414,7-15-2020,7-14-2020,25
YORK,42133,SC,1908,1860,48,27294,29154,7-15-2020,7-14-2020,421
